code,code50,Name_Fi,Name_Sv,Name_AltGen,Name_Alt,province_Fi,province_Sv,Status,Urban
169,031010,Jokioinen,,,,Hämeen lääni,Tavastehus län,Remain,0.0
177,031011,Juupajoki,,,,Hämeen lääni,Tavastehus län,Remain,0.0
182,031012,Jämsä,,,,Hämeen lääni,Tavastehus län,Remain,0.0
183,031013,Jämsänkoski,,,,Hämeen lääni,Tavastehus län,Remain,0.0
210,031014,Kalvola,,,,Hämeen lääni,Tavastehus län,Remain,0.0
211,031015,Kangasala,,,,Hämeen lääni,Tavastehus län,Remain,0.0
267,031016,Koijärvi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
277,031017,Korpilahti,,,,Hämeen lääni,Tavastehus län,Remain,0.0
282,031018,Koskenpää,,,,Hämeen lääni,Tavastehus län,Remain,0.0
283,031019,Koski,Koski Hl,Hämeenkoski,Koski Hl,Hämeen lääni,Tavastehus län,Remain,0.0
289,031020,Kuhmalahti,,,,Hämeen lääni,Tavastehus län,Remain,0.0
291,031021,Kuhmoinen,,,,Hämeen lääni,Tavastehus län,Remain,0.0
299,031022,Kuorevesi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
303,031023,Kuru,,,,Hämeen lääni,Tavastehus län,Remain,0.0
310,031024,Kylmäkoski,,,,Hämeen lääni,Tavastehus län,Remain,0.0
316,031025,Kärkölä,,,,Hämeen lääni,Tavastehus län,Remain,0.0
401,031026,Lammi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
418,031027,Lempäälä,,,,Hämeen lääni,Tavastehus län,Remain,0.0
433,031028,Loppi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
439,031029,Luopioinen,,,,Hämeen lääni,Tavastehus län,Remain,0.0
443,031030,Längelmäki,,,,Hämeen lääni,Tavastehus län,Remain,0.0
500,031031,Muurame,,,,Hämeen lääni,Tavastehus län,Remain,0.0
532,031032,Nastola,,,,Hämeen lääni,Tavastehus län,Remain,0.0
562,031033,Orivesi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
576,031034,Padasjoki,,,,Hämeen lääni,Tavastehus län,Remain,0.0
604,031035,Pirkkala,,,Etelä_Pirkkala,Hämeen lääni,Tavastehus län,Remain,0.0
637,031036,Pohjaslahti,,,,Hämeen lääni,Tavastehus län,Remain,0.0
635,031037,Pälkäne,,,,Hämeen lääni,Tavastehus län,Remain,0.0
692,031038,Renko,,,,Hämeen lääni,Tavastehus län,Remain,0.0
702,031039,Ruovesi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
730,031040,Sahalahti,,,,Hämeen lääni,Tavastehus län,Remain,0.0
760,031041,Somerniemi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
761,031042,Somero,,,,Hämeen lääni,Tavastehus län,Remain,0.0
787,031043,Säynätsalo,,,,Hämeen lääni,Tavastehus län,Remain,0.0
788,031044,Sääksmäki,,,,Hämeen lääni,Tavastehus län,Remain,0.0
834,031045,Tammela,,,,Hämeen lääni,Tavastehus län,Remain,0.0
840,031046,Teisko,,,,Hämeen lääni,Tavastehus län,Remain,0.0
852,031047,Tottijärvi,,,,Hämeen lääni,Tavastehus län,Remain,0.0
855,031048,Tuulos,,,,Hämeen lääni,Tavastehus län,Remain,0.0
860,031049,Tyrväntö,,,,Hämeen lääni,Tavastehus län,Remain,0.0
887,031050,Urjala,,,,Hämeen lääni,Tavastehus län,Remain,0.0
914,031051,Vanaja,,,,Hämeen lääni,Tavastehus län,Remain,0.0
922,031052,Vesilahti,,,,Hämeen lääni,Tavastehus län,Remain,0.0
928,031053,Viiala,,,,Hämeen lääni,Tavastehus län,Remain,0.0
933,031054,Vilppula,,,,Hämeen lääni,Tavastehus län,Remain,0.0
980,031055,Ylöjärvi,,Ylöjärvi kla,Ylöjärven kla,Hämeen lääni,Tavastehus län,Remain,1.0
981,031056,Ypäjä,,,Perttula,Hämeen lääni,Tavastehus län,Remain,0.0
285,040010,Kotka,,,,Kymen lääni,Kymmene län,Remain,1.0
75,040020,Hamina,Fredrikshamn,,,Kymen lääni,Kymmene län,Remain,1.0
405,040030,Lappeenranta,Villmanstrand,Willmanstrand,,Kymen lääni,Kymmene län,Remain,1.0
153,040110,Imatra,,Imatra kla,Imatran kla,Kymen lääni,Kymmene län,Remain,1.0
201,040120,Karhula,,,,Kymen lääni,Kymmene län,Remain,1.0
286,040130,Kouvola,,Kouvola kla,Kouvolan kla,Kymen lääni,Kymmene län,Remain,1.0
411,040140,Lauritsala,,Lauritsala kla,Lauritsalan kla,Kymen lääni,Kymmene län,Remain,1.0
12,041001,Anjala,,,,Kymen lääni,Kymmene län,Remain,0.0
44,041002,Elimäki,,,,Kymen lääni,Kymmene län,Remain,0.0
70,041003,Haapasaari,Aspö,,,Kymen lääni,Kymmene län,Remain,0.0
142,041004,Iitti,,,,Kymen lääni,Kymmene län,Remain,0.0
163,041005,Jaala,,,,Kymen lääni,Kymmene län,Remain,0.0
173,041006,Joutseno,,,,Kymen lääni,Kymmene län,Remain,0.0
306,041007,Kuusankoski,,,,Kymen lääni,Kymmene län,Remain,0.0
311,041008,Kymi,Kymmene,,,Kymen lääni,Kymmene län,Remain,0.0
404,041009,Lappee,,,,Kymen lääni,Kymmene län,Remain,0.0
416,041010,Lemi,,,,Kymen lääni,Kymmene län,Remain,0.0
441,041011,Luumäki,,,,Kymen lääni,Kymmene län,Remain,0.0
489,041012,Miehikkälä,,,,Kymen lääni,Kymmene län,Remain,0.0
