idTarget,idSource,ValueAbs,ValueRel
1,1.0,1.0,0.9935835739493104
1,886.0,0.0026500596263415925,0.006416426050689767
4,4.0,1.0,0.9120047090807345
4,496.0,0.0086292731496847,0.00433652568326611
4,559.0,0.07823909206597987,0.04547728889017001
4,944.0,0.0369675477904083,0.035893952150862156
4,971.0,0.004024767801857585,0.0022875241949674467
5,5.0,0.9810626254491548,0.9962516462364501
5,403.0,0.006689567890074128,0.0037483537635497914
6,6.0,1.0,0.9980032673806496
6,561.0,0.0048672566371681415,0.0019967326193501543
7,7.0,0.8858744619080989,1.0
9,9.0,1.0,1.0
10,10.0,0.9937314992164374,1.0
12,12.0,1.0,1.0
14,14.0,0.9990105540897097,1.0
15,15.0,1.0,1.0
16,16.0,0.9941305098400276,1.0
17,17.0,1.0,1.0
18,18.0,1.0,1.0
19,19.0,1.0,0.9902906201439323
19,636.0,0.002858231707317073,0.00510108492519196
19,423.0,0.0003800630092153496,0.001152073732718894
19,477.0,0.003019525932004252,0.003456221198156682
32,32.0,1.0,1.0
33,679.0,0.4935636856368564,1.0
34,34.0,1.0,1.0
35,35.0,1.0,1.0
40,40.0,1.0,0.8585233861615771
40,94.0,1.0,0.1414766138384229
43,43.0,1.0,1.0
44,44.0,1.0,1.0
45,45.0,1.0,1.0
46,46.0,0.9985255086994986,0.9795107293408601
46,681.0,0.005648551134411849,0.014075080861496234
46,741.0,0.0013872263249506789,0.0014185976730473398
46,246.0,0.0019479775409648218,0.004995592124595944
47,47.0,1.0,1.0
48,48.0,1.0,1.0
49,49.0,0.8862897962909823,1.0
50,50.0,1.0,1.0
51,51.0,1.0,1.0
52,52.0,1.0,1.0
60,60.0,1.0,1.0
61,61.0,1.0,0.8621887287024902
61,267.0,0.9297082228116711,0.13627449702445144
61,887.0,0.0036515616276937978,0.0015367742730584284
62,62.0,1.0,1.0
65,65.0,1.0,1.0
69,69.0,1.0,1.0
70,70.0,1.0,1.0
71,71.0,1.0,1.0
72,72.0,1.0,1.0
73,73.0,0.844575604272063,0.8707625109862649
73,888.0,0.006561930040238546,0.007535418671092929
73,11.0,1.0,0.12170207034264227
74,74.0,1.0,1.0
75,75.0,1.0,0.8735196589294173
75,917.0,0.08897775556110972,0.12648034107058267
76,76.0,1.0,1.0
77,77.0,0.9559682317215604,1.0
78,78.0,1.0,1.0
79,79.0,0.9993781418780706,0.9797512417816668
79,271.0,0.014820863280979566,0.018221544275942185
79,262.0,0.0031614305473226635,0.0020272139423908164
81,81.0,0.9862542955326461,1.0
82,82.0,0.9989678560896491,0.9987155701441417
82,914.0,0.001365578724140128,0.0011614816447747813
82,110.0,0.0001885338002122541,0.00012294821108364552
83,83.0,0.9809857854901237,1.0
84,84.0,0.6814142894857135,1.0
85,85.0,0.9931534006856265,0.9910804784107028
85,492.0,0.003418852880658436,0.008919521589296575
86,86.0,0.8987559555320275,0.9886446353180957
86,694.0,0.006483790523690773,0.011355364681904206
88,88.0,0.9985242575170633,0.6996251777174618
88,89.0,0.2946247464503043,0.3003748222825385
89,89.0,0.7053752535496958,0.9985642498205314
89,88.0,0.0014757424829367274,0.001435750179468772
90,90.0,0.999293500201857,0.9975819711770967
90,420.0,0.0017320652248592728,0.002418028822903569
91,91.0,1.0,0.9947050831594905
91,92.0,0.04376513415565631,0.004607749030390713
91,858.0,0.00453890631355781,0.0006871678101188415
92,92.0,0.9562348658443437,0.8702212271094494
92,858.0,0.09917164778675883,0.12977877289055065
95,95.0,1.0,1.0
96,96.0,1.0,0.9988221436984689
96,100.0,0.001081665765278529,0.001177856301531213
97,97.0,0.9760863386099149,1.0
98,98.0,0.801192063367579,1.0
99,99.0,1.0,0.9935367114788005
99,230.0,0.004871395167575994,0.006463288521199586
100,100.0,0.9989183342347214,1.0
101,101.0,1.0,1.0
102,102.0,1.0,1.0
103,103.0,1.0,1.0
105,105.0,1.0,1.0
106,107.0,1.0,0.9963577478662305
106,505.0,0.009305654974946313,0.0036422521337693497
108,108.0,0.9995243983639304,1.0
109,109.0,1.0,0.6692036192037274
109,110.0,0.941778167029842,0.19814346748912132
109,914.0,0.7889069290003962,0.13265291330715132
139,139.0,1.0,1.0
140,140.0,1.0,1.0
141,141.0,1.0,1.0
142,142.0,0.9962324013484037,1.0
143,144.0,0.0447239110518864,1.0
144,144.0,0.9552760889481136,1.0
145,145.0,0.9987441357199506,0.983231944646935
145,743.0,0.0029287602462860877,0.003108262575961304
145,544.0,2.533420491138831e-06,9.283203464049223e-07
145,975.0,0.005110374932125487,0.002839120333986675
145,942.0,0.03131128830016397,0.01063148167605195
145,152.0,0.00036603571619543685,0.00018826244671891527
146,146.0,1.0,1.0
148,148.0,1.0,1.0
149,149.0,1.0,1.0
150,150.0,1.0,1.0
151,151.0,1.0,1.0
152,152.0,0.9284248332478194,1.0
153,185.0,0.9751506024096386,0.40936536652705274
153,700.0,0.693670339917138,0.568602215730542
153,173.0,0.07662878361651851,0.02203241774240513
163,163.0,1.0,1.0
164,164.0,1.0,1.0
165,165.0,1.0,0.9073568431784624
165,914.0,0.20441498770307043,0.08377516737984302
165,110.0,0.028221832817634313,0.008867989441694459
166,166.0,1.0,1.0
167,167.0,0.9994646680942184,0.4191015179433184
167,596.0,0.9994646680942184,0.5808984820566816
169,169.0,1.0,1.0
170,170.0,0.5220346929207689,1.0
171,171.0,0.9402494826791316,1.0
172,172.0,1.0,0.9846910880262437
172,81.0,0.013745704467353952,0.015308911973756148
173,173.0,0.9233712163834815,0.9522334680676455
173,185.0,0.024849397590361446,0.037415551601674576
173,700.0,0.0003822523607160589,0.0008780195002414902
173,420.0,0.0055694725870200175,0.00800668517061382
173,831.0,0.004032258064516129,0.0014662756598240467
174,174.0,1.0,1.0
175,175.0,1.0,1.0
176,176.0,1.0,0.9994990398263339
176,607.0,0.0006079027355623101,0.0005008602613858453
176,276.0,1.1784486489528159e-07,9.991228034826356e-08
177,177.0,1.0,0.9988607234406152
177,562.0,0.0005025757004648825,0.0011392765593847907
