idTarget,idSource,ValueAbs,ValueRel
1,1.0,1.0,1.0
2,2.0,1.0,1.0
4,4.0,1.0,1.0
5,5.0,1.0,1.0
6,6.0,1.0,1.0
7,7.0,1.0,1.0
8,8.0,1.0,1.0
9,9.0,1.0,0.9995276334435521
9,208.0,0.00029175784099197665,0.00047236655644780347
10,10.0,0.9895951735594999,1.0
11,11.0,1.0,1.0
12,12.0,1.0,1.0
14,14.0,1.0,0.9919302775984508
14,178.0,0.00016329196603527107,0.0006455777921239509
14,623.0,0.0007645259938837921,0.0016139444803098773
14,696.0,0.002995008319467554,0.005717900736820556
14,492.0,1.8643126920415906e-05,9.229939229500005e-05
15,15.0,1.0,1.0
16,16.0,1.0,1.0
17,17.0,0.9740081016084345,1.0
18,18.0,1.0,1.0
19,19.0,1.0,1.0
32,32.0,1.0,1.0
34,34.0,1.0,0.6476663616158975
34,995.0,1.0,0.3523336383841024
35,35.0,1.0,1.0
40,40.0,1.0,1.0
43,43.0,1.0,1.0
44,44.0,0.9800980246546859,1.0
45,45.0,1.0,1.0
46,46.0,1.0,0.982318384720093
46,90.0,0.005340909090909091,0.014240889599581849
46,246.0,0.0014045099541301804,0.0034407256803253056
47,47.0,1.0,1.0
48,48.0,1.0,0.9182990922121357
48,443.0,0.03748355984217448,0.0817009077878643
49,49.0,1.0,1.0
50,50.0,1.0,1.0
51,51.0,1.0,1.0
52,52.0,1.0,1.0
60,60.0,1.0,1.0
61,61.0,1.0,1.0
62,62.0,1.0,1.0
65,65.0,1.0,1.0
69,69.0,1.0,1.0
70,70.0,1.0,1.0
71,71.0,0.9911641791044776,1.0
72,72.0,1.0,1.0
73,73.0,0.9985652797704447,1.0
74,74.0,1.0,1.0
75,75.0,1.0,0.8878903617164683
75,917.0,0.05246556618652087,0.11210963828353182
76,76.0,1.0,1.0
77,77.0,1.0,0.9994692848613507
77,85.0,0.0009250693802035153,0.0005307151386493299
78,78.0,1.0,1.0
79,79.0,1.0,1.0
81,81.0,0.9948093683812907,0.9985370734491796
81,172.0,0.0017369111696087657,0.0014629265508203809
82,82.0,1.0,1.0
83,83.0,1.0,1.0
84,84.0,1.0,1.0
85,85.0,0.9954402787576053,0.9759786476868327
85,178.0,0.008800518701521449,0.02402135231316726
86,86.0,0.8967465145821124,0.9886446353180958
86,694.0,0.006483790523690773,0.011355364681904206
88,88.0,1.0,1.0
89,89.0,1.0,1.0
90,90.0,0.9946590909090909,1.0
91,91.0,0.9615324172454731,0.9628148011524468
91,92.0,0.0395714828352435,0.004334749724608858
91,104.0,1.0,0.021283248562755454
91,294.0,1.0,0.00360459378887126
91,566.0,1.0,0.00796260677131807
92,92.0,0.9604285171647565,0.6191995704593853
92,91.0,0.038138650843432466,0.3808004295406149
94,94.0,1.0,1.0
95,95.0,1.0,1.0
96,96.0,1.0,1.0
97,97.0,0.9961451975586251,1.0
98,98.0,0.4517299630857786,1.0
99,99.0,1.0,1.0
100,100.0,1.0,1.0
101,101.0,1.0,1.0
102,102.0,1.0,1.0
103,103.0,1.0,1.0
105,105.0,1.0,1.0
107,107.0,1.0,0.9974548159024924
107,86.0,0.0022358026531524816,0.0017320933362511442
107,543.0,0.0011260162595893744,0.0008130907612562255
108,108.0,1.0,1.0
109,109.0,1.0,0.9924710641645129
109,110.0,0.02275042444821732,0.0075289358354871305
110,110.0,0.9772495755517827,1.0
139,139.0,0.6493268053855569,1.0
140,140.0,1.0,0.9858227848101264
140,762.0,0.006328398689117414,0.014177215189873417
141,141.0,0.9640418752844788,1.0
142,142.0,0.9325995807127883,0.9847119224187108
142,44.0,0.019901975345314123,0.015288077581289217
144,144.0,0.9989927816014773,1.0
145,145.0,0.9987436257482817,1.0
146,146.0,1.0,1.0
148,148.0,1.0,1.0
149,149.0,1.0,0.7230607966457023
149,39.0,1.0,0.27693920335429767
150,150.0,1.0,1.0
151,151.0,1.0,1.0
152,152.0,0.9995732878173672,0.9990500316656111
152,975.0,0.0008214403552842996,0.0009499683343888536
163,163.0,1.0,1.0
164,164.0,1.0,1.0
165,165.0,1.0,0.9867533423279773
165,914.0,0.02521597011440579,0.013246657672022568
166,166.0,1.0,0.9992208804051423
166,893.0,0.002254791431792559,0.0007791195948578107
167,167.0,1.0,1.0
169,169.0,1.0,1.0
170,170.0,1.0,1.0
171,171.0,0.7225911313500082,1.0
172,172.0,0.9982622127823905,0.9946275071633237
172,81.0,0.004688878406681026,0.0053724928366762174
173,173.0,1.0,0.9936119244077721
173,404.0,0.0020136374149495482,0.006388075592227841
174,174.0,0.9934541792547835,0.9852869053457575
174,502.0,0.006574812569522062,0.014713094654242276
175,175.0,1.0,0.9818551540747693
175,399.0,0.014406358668653751,0.01814484592523072
176,176.0,1.0,1.0
177,177.0,1.0,1.0
178,178.0,0.9910361893324433,1.0
