idTarget,idSource,ValueAbs,ValueRel
1,1.0,1.0,1.0
2,2.0,1.0,1.0
4,4.0,1.0,1.0
5,5.0,0.9694640710996556,1.0
6,6.0,1.0,1.0
7,7.0,1.0,1.0
8,8.0,1.0,1.0
9,9.0,1.0,0.9995276334435522
9,208.0,0.00029175784099197665,0.0004723665564478034
10,10.0,0.9895951735594999,1.0
11,11.0,1.0,0.9970355731225297
11,73.0,0.0004209803034445382,0.0029644268774703555
12,12.0,1.0,1.0
14,14.0,0.9990105540897097,0.991930277598451
14,178.0,0.0001631303974672942,0.0006455777921239509
14,623.0,0.0007637695367658331,0.0016139444803098778
14,696.0,0.0029920449207345716,0.005717900736820557
14,492.0,1.862468055472948e-05,9.229939229500005e-05
15,15.0,1.0,1.0
16,16.0,1.0,1.0
17,17.0,0.9740081016084345,1.0
18,18.0,1.0,1.0
19,19.0,1.0,1.0
32,32.0,1.0,1.0
33,679.0,0.4935636856368564,1.0
34,34.0,1.0,0.6476663616158975
34,995.0,1.0,0.3523336383841024
35,35.0,1.0,1.0
40,40.0,1.0,1.0
43,43.0,1.0,1.0
44,44.0,0.9800980246546859,1.0
45,45.0,1.0,1.0
46,46.0,1.0,0.8862345836531401
46,246.0,0.02244441000314986,0.055322074442896704
46,681.0,0.00913599106149541,0.024168276806563138
46,741.0,0.00819605054545509,0.008714832396981958
46,789.0,0.0030869212022745737,0.011541094646613886
46,90.0,0.005340909090909091,0.014019138053804293
47,47.0,1.0,1.0
48,48.0,1.0,0.9182990922121357
48,443.0,0.03748355984217448,0.0817009077878643
49,49.0,0.8868973492261164,1.0
50,50.0,1.0,1.0
51,51.0,1.0,1.0
52,52.0,1.0,1.0
60,60.0,1.0,1.0
61,61.0,1.0,1.0
62,62.0,1.0,1.0
65,65.0,1.0,1.0
69,69.0,1.0,1.0
70,70.0,1.0,1.0
71,71.0,0.9911641791044776,1.0
72,72.0,1.0,1.0
73,73.0,0.8429428942637804,0.9914168937329702
73,888.0,0.0064918045262522235,0.008583106267029973
74,74.0,1.0,1.0
75,75.0,1.0,0.7755896859332865
75,917.0,0.13677505342411111,0.22441031406671372
76,76.0,1.0,1.0
77,77.0,1.0,0.9994692848613502
77,85.0,0.0009250693802035153,0.0005307151386493299
78,78.0,1.0,1.0
79,79.0,0.9993761696818465,1.0
81,81.0,0.7790212317198133,0.9985370734491796
81,172.0,0.0016363927947164638,0.0014629265508203813
82,82.0,0.9989678560896491,1.0
83,83.0,1.0,1.0
84,84.0,1.0,1.0
85,85.0,0.9940170594048064,0.9672733850680976
85,178.0,0.008787936260567477,0.023807093342605862
85,492.0,0.0026448839746169156,0.008896841928733116
85,97.0,1.3250883392226149e-05,1.8201557532787838e-05
85,696.0,3.3556181386114524e-06,4.478103030671848e-06
86,86.0,0.8967465145821124,0.9886446353180959
86,694.0,0.006483790523690773,0.011355364681904206
88,88.0,0.9985242575170633,0.6996251777174616
88,89.0,0.2946247464503043,0.3003748222825385
89,89.0,0.7053752535496958,0.9985642498205313
89,88.0,0.0014757424829367274,0.0014357501794687725
90,90.0,0.9946590909090909,1.0
91,91.0,0.9615324172454731,0.9628148011524469
91,92.0,0.0395714828352435,0.004334749724608858
91,104.0,1.0,0.021283248562755458
91,294.0,1.0,0.00360459378887126
91,566.0,1.0,0.00796260677131807
92,92.0,0.9604285171647565,0.5389854947099075
92,91.0,0.038138650843432466,0.33146971944670656
92,858.0,0.10346854860717557,0.12789938287627584
92,543.0,0.0019470278771747682,0.0016454029671103077
94,94.0,1.0,1.0
95,95.0,1.0,1.0
96,96.0,1.0,1.0
97,97.0,0.9951567948489588,1.0
98,98.0,0.4517299630857786,1.0
99,99.0,1.0,1.0
100,100.0,1.0,1.0
101,101.0,1.0,1.0
102,102.0,1.0,1.0
103,103.0,1.0,1.0
105,105.0,1.0,1.0
106,107.0,0.39533413779233467,0.9974548159024924
106,86.0,0.0008838891141578506,0.0017320933362511442
106,543.0,0.000445152667124915,0.0008130907612562256
107,107.0,0.6046658622076654,0.9801598340995815
107,86.0,0.0013519135389946312,0.0017020603741020744
107,543.0,0.0006808635924644594,0.0007989924886369113
107,505.0,0.009305654974946313,0.017339113037679228
108,108.0,0.9995243983639304,1.0
109,109.0,1.0,0.7783443228422288
109,110.0,0.8366630142044656,0.22165567715777137
139,139.0,0.6493268053855569,1.0
140,140.0,1.0,0.9858227848101264
140,762.0,0.006328398689117414,0.014177215189873417
141,141.0,0.9640418752844788,1.0
142,142.0,0.9325995807127883,0.9847119224187109
142,44.0,0.019901975345314123,0.01528807758128922
143,144.0,0.04467886430582105,1.0
144,144.0,0.9543139172956562,1.0
145,145.0,0.9980884254689805,1.0
146,146.0,1.0,1.0
148,148.0,1.0,1.0
149,149.0,1.0,0.7230607966457023
149,39.0,1.0,0.27693920335429767
150,150.0,1.0,1.0
